Booth Number,Booth,Roles that can staff area?,Booth Description,Tue_1200_200,Tue_1200_230,Tue_200_400,Tue_230_530,Tue_400_600,Tue_530_800,Tue_600_800,Wed_1000_1100,Wed_1000_1230 ,Wed_1100_100,Wed_1200_300,Wed_100_300,Wed_300_500,Wed_300_530,Thu_900_11,Thu_900_1130,Thu_1100_100,Thu_1130_230,Thu_100_300,Thu_230_500,Thu_300_500,Fri_900_1000,Fri_900_1100,Fri_1000_1200,Fri_1100_100,Fri_1200_200,Fri_100_200,TOTAL
93,IoT Cloud Theater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
You will be the DEMO DRIVER for this mini theater presentation to introduce our latest cloud offering. A product marketer with be there help guide the presentation or answer any questions",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
94,Xbox IoT Demo,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
End-to-End IoT Cloud Product Lauch Demo",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
95,Thermostat IoT Demo,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
End-to-End IoT Cloud Product Lauch Demo",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
96,IoT Cloud Floater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Oversee that attendees are interacting with the Larger than Life Devices such as a Lightbulb, Toothbrush, and Wind Turbine, help answer questions, and reset the demos on the devices",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
97,IoT Cloud Floater,Sales Engineer,"You must be a Sales Engineer - Platform SE to staff this booth
Oversee that attendees are interacting with the Larger than Life Devices such as a Lightbulb, Toothbrush, and Wind Turbine, help answer questions, and reset the demos on the devices",1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,15
98,Photo Opp ,CSG,Encourage Customers to Participate in #Success Contest & Direct to Experiences based on Customers Needs,2,0,2,0,2,0,2,2,0,2,0,2,2,0,2,0,2,0,2,0,2,2,0,2,0,2,0,30
99,Integration with Clouds,CSG,"Staff Cloud Area: Interact with Customers on Cloud Specific Q&A, Demos and Share How Success Services can assist.  Provide information on Success Services Portfolio.
You must be Program Architects; Strategic Service / Practice Specialists, Acclerator Specialists and Regional Delivery Team,Success Managers and SFU to staff this booth",12,0,12,0,12,0,12,12,0,12,0,12,12,0,12,0,12,0,12,0,12,12,0,12,0,12,0,180
100,Expert Bar (RHS) - Expert 1:1 Consultations,CSG,"Guests can schedule 1:1 Consultations for 15mins
Booth is for  Program Architects; Strategic Service / Practice Specialists, Acclerator Specialists and Regional Delivery Team,Success Managers and SFU ",4,0,4,0,4,0,4,4,0,4,0,4,4,0,4,0,4,0,4,0,4,4,0,4,0,4,0,60
101,Apps Workshop,SR/BDR,WORKSHOP ASSISTANT,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,12
102,Apps Workshop,Account Executive/Co-Prime,WORKSHOP PRESENTER,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,12
103,Apps Workshop,Sales Engineer,DEMO DRIVER,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,12
104,Apps Workshop,SR/BDR,SCANNER,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,12
105,Apps Workshop,Marketing,Shift Leader - Platform Product Marketer in charge of helping Platform AE's and SE's get set up for their demos as well as resetting the demos.,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,12
106,,,,145,5,144,5,144,5,143,144,5,144,5,143,143,5,143,,144,,144,,144,143,,144,,142,,2154
